date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:46	658/658	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2007:50:53%20GMT	https://www.mcadventuretime.com/robots.txt		(from )
10:50:47	48948/48948	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2007:50:53%20GMT	https://www.mcadventuretime.com/dc/	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/index.html	(from )
10:50:47	1309/1309	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Mar%202020%2007:50:55%20GMT	https://www.mcadventuretime.com/dc/img/1000.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/img/1000.png	(from https://www.mcadventuretime.com/dc/)
10:50:47	9467/9467	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:39%20GMT	https://www.mcadventuretime.com/dc/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/open-iconic-bootstrap.min.css	(from https://www.mcadventuretime.com/dc/)
10:50:47	56663/56663	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:38%20GMT	https://www.mcadventuretime.com/dc/css/animate.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/animate.css	(from https://www.mcadventuretime.com/dc/)
10:50:47	3217/3217	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2015:38:00%20GMT	https://www.mcadventuretime.com/dc/css/owl.carousel.min2.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/owl.carousel.min2.css	(from https://www.mcadventuretime.com/dc/)
10:50:48	5236/5236	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:39%20GMT	https://www.mcadventuretime.com/dc/css/magnific-popup.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/magnific-popup.css	(from https://www.mcadventuretime.com/dc/)
10:50:48	25948/25948	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:38%20GMT	https://www.mcadventuretime.com/dc/css/aos.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/aos.css	(from https://www.mcadventuretime.com/dc/)
10:50:48	46816/46816	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:39%20GMT	https://www.mcadventuretime.com/dc/css/ionicons.min.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/ionicons.min.css	(from https://www.mcadventuretime.com/dc/)
10:50:48	16329/16329	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Mar%202020%2010:16:38%20GMT	https://www.mcadventuretime.com/dc/css/bootstrap-datepicker.css	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/css/bootstrap-datepicker.css	(from https://www.mcadventuretime.com/dc/)
